
;Thom Browne классический фланелевый костюм 'S120s' с;Классический фланелевый костюм 'S120s' с полосками от Thom Browne (Том Браун). Дизайн колор-блок, зазубренные лацканы, манжеты на пуговицах, широкий карман с листочкой на груди, передние карманы с клапанами, подкладка, двойная шлица сзади, отрезная длина и полосатый узор. Цвет: серый.;191360;;6;13519405_21744407_1000
;Dsquared2 классический костюм-двойка;Классический костюм-двойка от Dsquared2 (Дискуэд). Классические лацканы, застежка на пуговицы, боковые карманы, длинные рукава и узкий крой. Цвет: серый.;72180;;6;14186696_19116331_1000.jpg
;Ermenegildo Zegna строгий костюм-двойка;Строгий костюм-двойка от Ermenegildo Zegna. Классические лацканы, застежка на пуговицы, длинные рукава, стандартная длина, узкий крой, боковые карманы и задние карманы. Цвет: серый.;96249;;6;14426285_21774144_1000.jpg
;Dsquared2 костюм-двойка;Костюм-двойка от Dsquared2 (Дискуэд). Узкие лацканы, карманы с клапанами сбоку, застежка на пуговицах спереди и нагрудный карман. Цвет: черный.;66534;;6;14095934_18541440_1000.jpg.webp
;Burberry смокинг с монограммой;Смокинг с монограммой от Burberry (Берберри). Цвет: черный.;229000;;6;14032622_18449728_1000.jpg.webp
;Dsquared2 костюм-тройка London;Костюм-тройка London от Dsquared2 (Дискуэд). Заостренные лацканы, застежка на пуговицах спереди, длинные рукава, манжеты на пуговицах, нагрудный карман, передние карманы с клапанами, узор в полоску, двойная шлица сзади, V-образная горловина, застежка на пуговицах спереди, модель без рукавов, приталенный силуэт, два передних кармана, застежка спереди, боковые карманы, задние карманы с листочкой на пуговицах, прямые брючины и стандартная длина.;92400;;6;13963704_18143827_1000.jpg.webp
;LANVIN костюм-двойка;Костюм-двойка от Lanvin (Ланван). Зазубренный воротник, застежка на пуговицах спереди, нагрудный карман, длинные рукава, передние карманы с клапанами, строгий крой, фасон с рубашкой и брюками и прямые брючины.;68720;;6;14116652_21748310_1000.jpg.webp
;Givenchy костюм-двойка с контрастными лацканами;Костюм-двойка с контрастными лацканами от Givenchy (Живанши). Зазубренные лацканы, длинные рукава, манжеты на пуговицах, нагрудный карман, карманы с клапанами сбоку, строгий крой, средняя посадка, ширинка на молнии с пуговицей, пояс с петлями для ремня, боковые карманы, задние карманы и узкий крой. Цвет: темно-синий, черный.;95064;;6;14080429_18490491_1000.jpg.webp
;Saint Laurent классический смокинг;Классический смокинг от Saint Laurent (Сен Лоран). Заостренные лацканы, широкий карман с листочкой на груди, застежка на пуговицах спереди, передние карманы с клапанами, длинные рукава, манжеты на пуговицах, шлица сзади и цельная подкладка. Цвет: черный.;132574;;6;13701602_21761201_1000.jpg.webp
;Burberry классический смокинг;Классический смокинг от Burberry (Берберри). Цвет: черный.;199000;;6;14101186_18654682_1000.jpg.webp
;Maison Margiela костюм с двубортным пиджаком;Костюм с двубортным пиджаком от Maison Margiela. Зазубренные лацканы, двубортный фасон, длинные рукава, манжеты на пуговицах, передние карманы с клапанами, фирменная декоративная строчка, застежка на крючок и молнию, петли для ремня и подвернутый низ. Цвет: серый.;101694;;6;14061528_18665936_1000.jpg
;Gucci костюм-двойка Monaco;Gucci — истинное воплощение лучших итальянских традиций высокого качества пошива и неповторимого дизайна. В коллекцию бренда вошел темно-синий классический костюм-двойка Monaco, выполненный из шерстяного микса. Пиджак: зазубренные лацканы, застежка на пуговицах спереди, передние карманы с клапанами, длинные рукава, манжеты на пуговицах, цельная атласная подкладка. Брюки: прямой крой, петли для ремня, боковые карманы, два задних прорезных кармана на пуговицах. Сделано в Италии.;126440;;6;13509815_17567343_1000.jpg.webp
;Dsquared2 строгий костюм в клетку;Строгий костюм в клетку от Dsquared2 (Дискуэд). Заостренные лацканы, застежка на пуговицах спереди, нагрудный карман, передние карманы с клапанами, длинные рукава, манжеты на декоративных пуговицах, двойная шлица сзади, застежка на пуговицах спереди, передний карман с листочкой, прорезные карманы по бокам и два задних прорезных кармана на пуговицах. Цвет: серый.;117740;;6;13911389_18161944_1000.jpg
;Gucci костюм-двойка в тонкую полоску;Костюм-двойка в тонкую полоску от Gucci (Гуччи). Зазубренные лацканы, широкий карман с листочкой на груди, застежка на пуговицах спереди, передние карманы с клапанами, длинные рукава, манжеты на пуговицах, шлица сзади, пояс с петлями для ремня, потайная застежка спереди, прорезные карманы по бокам, два задних прорезных кармана на пуговицах, прямые брючины и стандартная длина.;144870;;6;14123391_21806606_1000.jpg.webp
;LANVIN костюм-двойка в клетку;Костюм-двойка в клетку от Lanvin (Ланван). Зазубренный воротник, нагрудный карман, застежка на пуговицах спереди, длинные рукава, карманы с клапанами, строгий крой, фасон с рубашкой и брюками и прямые брючины.;68782;;6;14116660_21797764_1000.jpg
