
;Palm Angels плащ оверсайз с логотипом;Плащ оверсайз с логотипом от Palm Angels. Классический воротник, застежка на кнопках, шлица сзади, длинные рукава, свободный крой и удлиненная модель. Цвет: белый.;50900;;2;14929614_24536766_1000.jpg
;Heron Preston ветровка с нашивкой;Ветровка с нашивкой 'Стиль' от Heron Preston. Легкая конструкция, контрастный воротник , фирменная заплатка в форме звезды, декоративная строчка, застежка на пуговицах поверх молнии, передние карманы, шлица сзади и штормовая заслонка. Цвет: бежевый, оранжевый.;39158;;2;14100337_21666081_1000.jpg
;Burberry пальто с принтом Horseferry;Пальто с принтом Horseferry от Burberry (Берберри). Классический воротник, застежка на пуговицах спереди, принт с логотипом спереди, узор сзади, длинные рукава, полоски сбоку, узкие манжеты, средней длины и шлица сзади. Цвет: желтый.;209000;;2;14882436_24360970_1000.jpg.webp
;Z Zegna фактурное двубортное пальто;Фактурное двубортное пальто от Z Zegna. Средней длины, застежка на пуговицы и два передних кармана. Цвет: черный.;46897;;2;14435729_22605895_1000.jpg.webp
;Junya Watanabe MAN двубортное пальто с контрастными рукавами;Двубортное пальто с контрастными рукавами от Junya Watanabe MAN. Зазубренные лацканы, застежка на пуговицах спереди, передние карманы с клапанами, нагрудный карман, шлица сзади, длинные рукава и декоративная строчка. Цвет: черный.;60053;;2;14447649_21832492_1000.jpg.webp
;Gucci пуховик с узором GG Supreme;Если вы подбираете себе повседневный образ, почему бы не придать ему нотку элегантности? В таком случае Gucci будет вашим лучшим выбором. Этот серый пуховик с узором GG Supreme и белыми полосками по бокам от Gucci (Гуччи) имеет застежку на пуговицах спереди, капюшон, длинные рукава, боковые карманы и подол на шнурке. Сделано в Италии.;151460;;2;14185435_21328123_1000.jpg
;Rick Owens пальто Slab с капюшоном;Пальто Slab с капюшоном от Rick Owens (Рик Оуэнс). С капюшоном, смещенная застежка на молнии, прорезные карманы по бокам, карманы с клапанами сбоку, закругленный подол, разрез на кайме сзади и декоративная окантовка. Цвет: серый.;114750;;2;13721697_16626186_1000.jpg
;Martine Rose дутая парка Wenger;Дутая парка Wenger от Martine Rose. Капюшон, воротник с высокой стойкой, потайная застежка спереди, длинные рукава, средней длины и заплатка с логотипом спереди. Цвет: черный.;42777;;2;13783253_21368116_1000.jpg.webp
;ALEXANDER MCQUEEN тренч в клетку тартан;Тренч в клетку тартан от Alexander McQueen (Александр Маккуин). Классический воротник, потайная застежка спереди, вышитая деталь, ремень на талии, D-образная пряжка, орнамент в шотландскую клетку и средней длины.;90000;;2;14197773_20028911_1000.jpg.webp
;Moncler пуховик Kerleo;Пуховик Kerleo от Moncler (Монклер). Съемный капюшон, застежка на кнопках и молнии, два передних кармана, логотип на рукаве и длинные рукава. Цвет: красный.;167100;;2;14435190_21120788_1000.jpg.webp
;Burberry пальто The Camden;Бежевое хлопковое пальто The Camden от Burberry (Берберри). Средняя длина, классический воротник и застежка на пуговицах.;119000;;2;12979234_13674374_1000.jpg.webp
;Burberry куртка с мятым эффектом;Куртка с мятым эффектом от Burberry (Берберри). Зазубренные лацканы, застежка на пуговицах спереди, длинные рукава и карманы с клапанами.;36400;;2;14106510_18591995_1000.jpg
;Moncler дутое пальто Willm;Дутое пальто Willm от Moncler (Монклер). Капюшон, воротник-воронка, застежка на молнии спереди и длинные рукава. Цвет: зеленый.;62860;;2;14377978_21110569_1000.jpg.webp
;Rick Owens пальто со вставками;Пальто со вставками от Rick Owens (Рик Оуэнс). Фактурная модель, тонкая вязка, контрастные панели, массивный воротник, средней длины, разрез на кайме сзади, ремень на талии и застежка на пуговицы. Цвет: черный.;155520;;2;14902659_24408867_1000.jpg.webp
;Fay многослойное пальто с капюшоном;Многослойное пальто с капюшоном от Fay. Фактурная модель, многослойный дизайн, капюшон, затягивающийся на шнурок, средней длины, два передних кармана и застежка на пуговице и молнии.;42253;;2;14940138_24643057_1000.jpg
