
;Heron Preston шорты с контрастным принтом;Шорты с контрастным принтом от Heron Preston. Эластичный пояс, боковые карманы и короткая длина. Цвет: черный.;10573;;9;14378208_21095863_1000.jpg
;Comme Des Garçons Homme Plus шорты с кулиской;Шорты с кулиской от Comme des Garçons Homme Plus. Вставки с микроплиссировкой, прорезные карманы по бокам, свободный силуэт и прямой подол. Цвет: черный.;25998;;9;14471295_21776578_1000.jpg.webp
;Givenchy спортивные шорты свободного кроя;Спортивные шорты свободного кроя от Givenchy (Живанши). Эластичный пояс, прорезные карманы по бокам, эластичная модель и свободный стиль. Цвет: черный.;47251;;9;14329289_20602717_1000.jpg.webp
;Blackbarrett шорты с логотипом;Шорты с логотипом от Blackbarrett. Средняя посадка, эластичный пояс, боковые карманы и прямой крой. Цвет: черный.;7917;;9;14410460_20987022_1000.jpg.webp
;Rhude спортивные шорты с принтом;Спортивные шорты с принтом от Rhude. Талия на эластичном шнурке, прорезные карманы по бокам, передние карманы на молнии, задние карманы, графический принт и свободный крой.;3679;;9;14468711_21651914_1000.jpg
;Thom Browne классические состаренные шорты 'Mogador' с широкими полосками;Классические состаренные шорты 'Mogador' с широкими полосками от Thom Browne (Том Браун). Полосатый узор, средняя посадка, потайная застежка спереди, прямой крой, необработанные края, боковые карманы и два задних прорезных кармана на пуговицах.;138300;;9;13519413_15966719_1000.jpg
;Off-White шорты Hardcore Caravaggio;Шорты Hardcore Caravaggio от Off-White. Эластичный пояс, длина по колено, эффект потертости и прорезные карманы по бокам. Цвет: синий.;16018;;9;14399115_21146938_1000.jpg
;Comme Des Garçons Shirt вельветовые шорты чинос;Вельветовые шорты чинос от Comme Des Garçons Shirt. Эластичный пояс, завышенная посадка, потайная застежка спереди и ребристая фактура. Цвет: синий.;19859;;9;14484403_21529750_1000.jpg
;Moschino спортивные шорты с принтом;Спортивные шорты с принтом от Moschino (Москино). Талия на эластичном шнурке, прорезные карманы по бокам, задние карманы с листочкой и длина по колено. Цвет: синий.;11176;;9;14401052_20869927_1000.jpg
;À La Garçonne шорты строгого кроя;Шорты строгого кроя от À La Garçonne. Средняя посадка, ширинка на молнии с пуговицей, петли для ремня, потайные карманы и прямой крой.;13706;;9;14334454_20836717_1000.jpg
;Rick Owens DRKSHDW спортивные шорты с низким шаговым швом;Спортивные шорты с низким шаговым швом от Rick Owens DRKSHDW. Талия на эластичном шнурке, прорезные карманы по бокам, короткая длина и заниженная посадка. Цвет: черный.;18756;;9;14155935_20767938_1000.jpg.webp
;Valentino шорты с контрастным логотипом;Шорты с контрастным логотипом от Valentino (Валентино). Талия на эластичном шнурке, накладной карман сзади и длина три четверти. Цвет: черный.;34191;;9;14011433_18483165_1000.jpg.webp
;Dsquared2 спортивные шорты с кулиской;Спортивные шорты с кулиской от Dsquared2 (Дискуэд). Кулиска на талии, короткая длина и узкий крой. Цвет: серый.;12729;;9;14327086_21216020_1000.jpg
;God's Masterful Children спортивные шорты в полоску;Спортивные шорты в полоску от God's Masterful Children. Талия на эластичном шнурке, боковые карманы и дизайн колор-блок. Цвет: черный.;14398;;9;13588889_21038415_1000.jpg
;Off-White спортивные шорты Hardcore Caravaggio с логотипом;«Off-White — пространство между черным и белым», — гласит надпись на бирке вещей Вирджила Абло, тем самым определяя место бренда в современном мире: на грани высокой моды и стритстайл-культуры. В этот сезон вошли серые спортивные шорты Hardcore Caravaggio с логотипом от Off-White сделаны из 100% хлопка. Модель с эластичным поясом, боковые карманы, длина по колено и графичный принт.;15127;;9;14144053_20913502_1000.jpg
