
;Rhude рубашка Hawaiian с цветочным принтом;Рубашка Hawaiian с цветочным принтом от Rhude. Открытый ворот, застежка на пуговицах спереди, длинные рукава, свободный силуэт и необработанные края. Цвет: черный, синий.;21177;;7;13768096_21515155_1000.jpg.webp
;Martine Rose плиссированная рубашка на молнии с принтом;Плиссированная рубашка на молнии с принтом от Martine Rose. Заостренный воротник, короткие рукава, застежка на молнии спереди и укороченная длина.;19424;;7;13783183_21275900_1000.jpg.webp
;Rhude рубашка с принтом Moonlight Madness;Рубашка с принтом Moonlight Madness от Rhude. Открытый ворот, контрастный вышитый логотип на груди, нагрудный карман, застежка на пуговицах спереди, длинные рукава, узор пейсли и свободный силуэт. Цвет: оранжевый.;34308;;7;13768258_21510241_1000.jpg
;Comme Des Garçons Shirt рубашка кроя слим;Рубашка кроя слим от Comme Des Garçons Shirt. Косой воротник, застежка на пуговицах спереди, длинные рукава и узкий крой. Цвет: оранжевый.;17904;;7;14484395_21529493_1000.jpg
;Casablanca рубашка с принтом Tennis Club at Night;Рубашка с принтом Tennis Club at Night от Casablanca. Цвет: разноцветный.;35489;;7;13942122_23121005_1000.jpg.webp
;Alexander McQueen джинсовая рубашка с вышивкой;Джинсовая рубашка с вышивкой от Alexander McQueen (Александр Маккуин). Классический воротник, длинные рукава, манжеты на пуговицах и застежка на пуговицах спереди.;52855;;7;13952073_20034586_1000.jpg
;Comme Des Garçons Shirt рубашка свободного кроя с узором;Рубашка свободного кроя с узором от Comme Des Garçons Shirt. Классический воротник, застежка на пуговицах спереди, длинные рукава, свободный крой, закругленный подол и микс орнаментов.;41422;;7;14440454_21445792_1000.jpg
;Prada гавайская рубашка с короткими рукавами;Гавайская рубашка с короткими рукавами от Prada (Прада). Зазубренный воротник, короткие рукава и застежка на пуговицах спереди. Цвет: синий.;52000;;7;13691943_20008043_1000.jpg.webp
;Gucci рубашка с логотипом и отделкой Web;Gucci делает старое снова актуальным. Для создания новых коллекций бренд часто использует винтажные и архивные образы. Эта голубая хлопковая рубашка с короткими рукавами и отделкой Web от Gucci (Гуччи) имеет открытый воротник, застежку на пуговицах спереди, принт с логотипом, отделку по краям и короткие рукава. Сделано в Италии.;39510;;7;14020251_21634004_1000.jpg.webp
;Versace рубашка с принтом Baroque;Рубашка с принтом Baroque от Versace (Версаче). Классический воротник, застежка на пуговицах спереди, длинные рукава и свободный крой.;49284;;7;14155931_21570592_1000.jpg.webp
;Cmmn Swdn рубашка в клетку Prince of Wales;Рубашка в клетку Prince of Wales от Cmmn Swdn. Классический воротник, застежка на пуговицах спереди, длинные рукава, манжеты на пуговицах и закругленный подол. Цвет: желтый, черный.;14256;;7;13989140_22212232_1000.jpg
;Gucci рубашка Springtime с цветочным принтом;Gucci известен своей эксцентричной графикой, причудливыми принтами и яркой палитрой. Эта разноцветная рубашка Springtime из смеси хлопка и льна с цветочным принтом от Gucci (Гуччи) имеет косой воротник, застежка на пуговицах спереди, короткие рукава, розовую отделку, клетчатые вставки и передние карманы. Сделано в Италии.;135000;;7;14185475_21333352_1000.jpg.webp
;Saint Laurent полосатая рубашка из ткани ламе;Французский дом моды Saint Laurent основан в 1961 году Ивом Сен-Лораном, прогрессивным кутюрье своего времени. В современных коллекциях, созданных под руководством Энтони Ваккарелло, бренд объединяет лучшие традиции качества и рок-н-ролльный стиль. Среди моделей — полосатая рубашка черного и золотистого цвета с эффектом металлик из ткани ламе от Saint Laurent (Сен Лоран). Классический воротник, застежка на пуговицах спереди и длинные рукава.;72705;;7;14084090_20726699_1000.jpg
;Ami Paris классическая рубашка свободного кроя;Классическая рубашка свободного кроя от AMI Alexandre Mattiussi. Классический воротник, застежка на пуговицах спереди, нагрудный карман, длинные рукава, манжеты на пуговицах и закругленный подол.;6107;;7;13816581_17159306_1000.jpg
;LANVIN полосатая рубашка с длинными рукавами;Полосатая рубашка с длинными рукавами от Lanvin (Ланван). Классический воротник, застежка на пуговицах спереди, длинные рукава, манжеты на пуговицах, закругленный подол и полосатый узор.;18759;;7;14961880_24601191_1000.jpg.webp
