
;Raf Simons футболка с принтом Twin Peaks;Футболка с принтом Twin Peaks от Raf Simons (Раф Симонс). Круглый вырез и короткие рукава. Цвет: черный.;15340;;11;14165747_20961602_1000.jpg.webp
;Marcelo Burlon County Of Milan футболка с логотипом;Футболка с логотипом от Marcelo Burlon County Of Milan. Круглый вырез под горло, короткие рукава, свободный крой и принт с логотипом. Цвет: черный.;9411;;11;14477959_22213547_1000.jpg.webp
;Visvim футболка с принтом Flamma;Футболка с принтом Flamma от Visvim. Круглый вырез, короткие рукава, графический принт и подол и манжеты в рубчик. Цвет: белый, розовый.;43239;;11;13777710_22059272_1000.jpg
;Raf Simons футболка с принтом;Футболка с принтом от Raf Simons (Раф Симонс). Круглый вырез, короткие рукава, графический принт и свободный крой. Цвет: белый.;17260;;11;14165393_21750305_1000.jpg.webp
;Neil Barrett футболка Meteor Shower;Футболка Meteor Shower от Neil Barrett. Круглый вырез под горло и короткие рукава. Цвет: белый.;14836;;11;14053044_20705106_1000.jpg.webp
;Saint Laurent футболка с принтом Radio;Французский дом моды Saint Laurent основан в 1961 году Ивом Сен-Лораном, прогрессивным кутюрье своего времени. В современных коллекциях, созданных под руководством Энтони Ваккарелло, бренд объединяет лучшие традиции качества и рок-н-ролльный стиль. Среди моделей белая хлопковая футболка с принтом Radio от Saint Laurent (Сен Лоран). Круглый вырез, короткие рукава и принт на груди. Сделано в Италии.;11663;;11;14084362_20913339_1000.jpg.webp
;Off-White футболка с графичным принтом;Стритстайл в новом переосмыслении — визитная карточка Off-White. Даже классические предметы гардероба получают свежую интерпретацию. Среди моделей новой коллекции — хлопковая футболка черного и белого цвета с графичным принтом от Off-White. Круглый вырез под горло, короткие рукава, графичный принт, принт с логотипом сзади и свободный крой.;15708;;11;14374071_20777039_1000.jpg.webp
;Valentino футболка с принтом из коллаборации с Undercover;Совместная коллекция Valentino с брендом уличной одежды Undercover под названием Past and Future сочетает футуристические принты и традиционное итальянское мастерство. Эта черная футболка с принтом из коллаборации с Undercover от Valentino (Валентино) выполнена из 100% хлопка. Круглый вырез и короткие рукава. Сделано в Италии.;22120;;11;14165683_20768225_1000.jpg
;Versace футболка с вышивкой и декором Medusa;Футболка с вышивкой и декором Medusa от Versace (Версаче). Круглый вырез и короткие рукава. Цвет: черный.;17003;;11;14083426_18941262_1000.jpg.webp
;Rick Owens футболка с нашивкой Legaspi Ink;Футболка с нашивкой Legaspi Ink от Rick Owens (Рик Оуэнс). Круглый вырез, короткие рукава и свободный силуэт. Цвет: черный.;17550;;11;14155967_20641229_1000.jpg.webp
;A-Cold-Wall* футболка с короткими рукавами;Футболка с короткими рукавами от A-Cold-Wall*. Круглый вырез, короткие рукава, свободный крой и заплатка с логотипом спереди. Цвет: черный.;9364;;11;13790380_21368165_1000.jpg.webp
;Saint Laurent футболка с графичным принтом The Smiths;Ив Сен-Лоран навсегда изменил ход истории. Постоянно опережая время, его бренд стал первым домом высокой моды, представившим изысканную линию прет-а-порте. В последнюю коллекцию вошла белая хлопковая футболка с графичным принтом The Smiths от Saint Laurent (Сен Лоран). Круглый вырез, короткие рукава, графичный принт на груди и необработанные края на подоле сзади. Сделано в Италии.;18531;;11;14084361_20535788_1000.jpg.webp
;Comme Des Garçons Homme Plus футболка с принтом Zeus;Футболка с принтом Zeus от Comme des Garçons Homme Plus. Круглый вырез, короткие рукава, свободный крой и графический принт. Цвет: белый.;15625;;11;14194149_21630619_1000.jpg
;Gucci футболка оверсайз Manifesto;Футболка оверсайз Manifesto от Gucci (Гуччи). Круглый вырез и короткие рукава. Цвет: белый.;25690;;11;14344308_20597664_1000.jpg.webp
;Alexander McQueen футболка с принтом Skull;Мрачная эстетика, черепа и отсылки к готике — британский бренд Alexander McQueen всегда играл против правил, стремясь показать красоту в гротеске. Белая хлопковая футболка с круглым вырезом и короткими рукавами из коллекции Alexander McQueen сделана в Италии и дополнена принтом с изображением черепа.;11785;;11;14014979_20330558_1000.jpg.webp
